Rank,Player,Team,Position,SF,SG,PG,C,PF,id,type,action,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,%ROST,#ERROR!,tot,avg,checked
320,Dwight Powell,Dal,C,False,False,False,False,False,320,,,15.7,1.7,2.5,1.2,1.7,0.0,3.8,1.2,0.5,0.3,0.6,4.7,0.3,-0.1,930.0,13.5,False
321,Richaun Holmes,Wsh,C,False,False,False,False,True,321,,,15.5,2.6,4.2,0.9,1.2,0.0,4.6,0.6,0.2,0.6,0.7,6.1,0.1,0.0,924.0,14.4,False
322,Jevon Carter,Chi,PG,False,False,False,False,False,322,,,15.8,2.1,5.4,0.1,0.2,1.2,1.3,1.6,0.6,0.3,0.6,5.6,0.1,0.0,923.0,12.5,False
323,Seth Curry,Cha,SG,False,False,True,False,False,323,,,17.9,2.7,6.2,0.8,0.9,1.2,1.8,1.5,0.6,0.1,0.7,7.5,1.6,0.0,913.0,14.0,False
324,Malachi Flynn,SAP,G,False,False,False,False,False,324,,,,,,,,,,,,,,,0.1,0.0,,,False
325,John Wall,Hou,PG,False,False,False,False,False,325,,,22.1,4.0,9.9,2.3,3.3,1.0,2.7,5.2,0.8,0.4,2.3,11.3,0.2,0.0,615.0,22.8,False
326,Ziaire Williams,Bkn,SF,False,False,False,False,False,326,,,19.8,2.8,7.0,1.1,1.3,1.1,3.1,1.3,0.6,0.2,1.2,7.8,0.2,0.0,904.0,13.9,False
327,Josh Christopher,Mia,SG,False,False,False,False,False,327,,,,,,,,,,,,,,,0.1,0.0,,,False
328,Charles Bassey,SA,C,False,False,False,False,False,328,,,11.4,1.9,2.8,0.5,0.7,0.0,4.3,1.0,0.4,0.9,0.8,4.2,0.2,0.0,902.0,14.8,False
329,Amir Coffey,LAC,SG,False,False,False,False,False,329,,,19.8,2.3,4.9,0.9,1.1,0.9,2.0,1.2,0.5,0.2,0.5,6.4,0.4,0.4,898.0,13.0,False
330,Jordan Hawkins,NOS,G,False,False,False,False,False,330,,,17.3,2.8,6.8,1.0,1.2,1.6,2.2,1.0,0.3,0.1,0.6,8.2,0.4,0.0,898.0,13.0,False
331,Patty Mills,Utah,PG,False,True,False,False,False,331,,,21.2,2.9,7.2,0.5,0.6,1.9,1.5,1.7,0.6,0.1,0.8,8.2,0.2,0.0,894.0,14.7,False
332,Jeff Green,Hou,PF,False,False,False,False,False,332,,,18.0,2.4,5.1,1.6,2.0,0.6,2.4,1.0,0.2,0.4,0.7,7.1,0.2,0.0,882.0,12.4,False
333,Damion Lee,Phx,SF,False,False,False,False,False,333,,,20.3,2.7,6.1,1.2,1.3,1.3,3.1,1.2,0.5,0.1,0.9,7.9,0.1,0.0,882.0,14.5,False
334,Usman Garuba,FAP,F,False,False,False,False,False,334,,,,,,,,,,,,,,,0.0,0.0,,,False
335,Josh Okogie,Phx,SF,False,True,False,False,False,335,,,16.2,1.6,3.9,1.4,1.9,0.6,2.7,1.1,0.8,0.4,0.7,5.2,0.1,0.0,846.0,12.8,False
336,Shake Milton,Bkn,SG,False,False,False,False,False,336,,,15.5,2.2,5.1,1.0,1.2,0.5,1.9,1.9,0.4,0.2,0.8,5.9,0.1,0.0,836.0,12.1,False
337,Ricky Council IV,Phi,SG,False,False,False,False,False,337,,,16.2,2.7,5.4,2.7,3.5,0.5,2.6,1.0,0.5,0.1,1.5,8.5,0.2,0.0,830.0,12.2,False
338,Jordan McLaughlin,Sac,PG,False,False,False,False,False,338,,,12.1,1.3,2.8,0.3,0.4,0.7,1.3,2.2,0.7,0.1,0.4,3.6,0.1,0.0,827.0,12.2,False
339,Terrence Shannon Jr.,Min,SG,False,False,False,False,False,339,,,11.1,2.2,4.8,1.1,1.4,0.6,2.7,0.4,0.6,0.4,0.9,6.0,0.9,0.0,800.0,11.6,False
340,Julian Strawther,Den,SF,False,False,False,False,False,340,,,13.9,2.5,5.6,0.6,0.8,1.3,1.5,1.2,0.4,0.2,0.6,6.8,0.3,0.1,758.0,12.2,False
341,Anthony Black,Orl,PG,False,True,False,False,False,341,,,16.8,1.7,3.6,0.7,1.2,0.6,2.0,1.3,0.5,0.3,0.8,4.6,0.9,-0.1,746.0,10.7,False
342,Chris Duarte,Chi,SG,False,False,False,False,False,342,,,15.0,1.9,4.9,0.7,0.9,0.9,2.1,1.0,0.5,0.2,0.6,5.5,0.1,0.0,741.0,10.9,False
343,Garrison Mathews,Atl,SG,True,False,False,False,False,343,,,15.8,1.7,3.9,0.7,0.9,1.3,1.5,0.6,0.4,0.1,0.3,5.4,0.1,0.0,732.0,10.2,False
344,Jalen Wilson,Bkn,PF,False,False,False,False,False,344,,,15.5,1.8,4.2,0.9,1.1,0.5,3.1,1.0,0.3,0.1,0.4,5.0,0.2,0.0,722.0,10.6,False
345,Kobe Bufkin,Atl,PG,False,True,False,False,False,345,,,11.6,2.0,5.4,0.2,0.5,0.5,1.9,1.6,0.4,0.3,0.6,4.8,0.3,0.0,715.0,10.4,False
346,P.J. Tucker,LAC,PF,True,False,False,False,False,346,,,21.1,1.2,2.8,0.3,0.3,0.6,3.6,0.9,0.6,0.2,0.5,3.3,0.2,0.0,708.0,11.1,False
347,Ben Sheppard,Ind,SG,False,False,False,False,False,347,,,14.3,1.6,4.0,0.5,0.5,0.9,1.6,0.9,0.6,0.0,0.3,4.6,0.2,0.0,706.0,9.9,False
348,AJ Griffin,FAS,F,False,False,False,False,False,348,,,15.1,2.4,5.7,0.4,0.4,1.0,1.6,0.7,0.4,0.1,0.5,6.3,0.1,0.0,,10.5,False
349,Cam Reddish,LAL,SF,False,True,False,False,False,349,,,17.3,1.8,4.5,0.9,1.1,0.7,1.7,0.9,0.8,0.2,0.6,5.2,0.3,0.0,674.0,11.0,False
350,Jalen McDaniels,Sac,PF,False,False,False,False,False,350,,,14.2,1.9,4.7,0.8,1.0,0.4,2.3,1.0,0.5,0.2,0.7,4.9,0.2,0.0,672.0,9.9,False
351,Jarace Walker,Ind,PF,False,False,False,False,False,351,,,10.3,1.4,3.3,0.3,0.3,0.6,1.9,1.2,0.5,0.3,0.5,3.6,0.5,0.0,669.0,10.1,False
352,Saben Lee,FAP,G,False,False,False,False,False,352,,,11.6,1.4,3.6,1.4,1.9,0.2,1.7,2.0,0.6,0.1,0.6,4.4,0.0,0.0,,10.7,False
353,David Nwaba,OKC,SG,False,False,False,False,False,353,,,,,,,,,,,,,,,0.0,0.0,,,False
354,Rayan Rupert,Por,SG,False,False,False,False,False,354,,,16.7,1.8,5.1,0.8,1.1,0.8,2.4,1.6,0.3,0.1,0.8,5.3,0.0,0.0,652.0,10.0,False
355,Alex Len,Sac,C,False,False,False,False,False,355,,,10.7,1.3,2.4,0.6,1.0,0.0,3.0,1.0,0.2,0.6,0.7,3.4,0.1,0.0,648.0,10.1,False
356,Garrett Temple,Tor,SG,False,False,False,False,False,356,,,13.8,1.4,3.7,0.4,0.6,0.7,1.8,1.0,0.6,0.2,0.5,3.9,0.0,0.0,633.0,9.6,False
357,Jeremiah Robinson-Earl,NOP,F,False,False,False,True,False,357,,,12.4,1.6,3.6,0.5,0.6,0.5,2.9,0.7,0.4,0.2,0.5,4.2,0.1,0.0,628.0,10.0,False
358,Nick Smith Jr.,Cha,SG,False,False,False,False,False,358,,,14.2,2.2,5.7,0.3,0.3,1.3,1.4,1.2,0.2,0.1,0.8,6.0,0.2,0.0,622.0,9.3,False
359,Max Christie,LAL,SG,False,False,False,False,False,359,,,13.8,1.4,3.4,0.5,0.6,0.6,2.1,0.8,0.3,0.2,0.5,4.0,0.3,0.1,589.0,8.7,False
360,Jalen Hood-Schifino,LAL,SG,False,False,False,False,False,360,,,11.3,2.0,4.7,1.5,2.1,0.5,1.3,0.8,0.3,0.2,0.9,6.0,0.2,0.0,555.0,8.3,False
361,Kira Lewis Jr.,Wsh,PG,False,False,False,False,False,361,,,11.1,1.7,4.3,0.6,0.7,0.4,1.3,1.4,0.4,0.1,0.7,4.5,0.0,0.0,551.0,8.6,False
362,Jericho Sims,NY,C,False,False,False,False,False,362,,,13.7,1.0,1.4,0.3,0.5,0.0,3.7,0.5,0.2,0.5,0.4,2.3,0.3,0.0,627.0,9.5,False
363,Chuma Okeke,NYP,F,False,False,False,False,False,363,,,12.8,1.3,3.5,0.2,0.3,0.7,2.4,0.7,0.4,0.2,0.4,3.5,0.1,0.0,543.0,8.6,False
364,Caleb Houstan,Orl,SF,False,False,False,False,False,364,,,14.2,1.3,3.5,0.3,0.4,1.2,1.5,0.5,0.3,0.1,0.3,4.2,0.0,0.0,541.0,8.0,False
365,Markelle Fultz,FAP,G,False,True,False,False,False,365,,,24.5,4.5,9.2,1.1,1.5,0.3,3.5,4.1,1.2,0.4,1.7,10.5,0.7,-0.2,,25.0,False
366,T.J. Warren,NYS,F,False,False,False,False,False,366,,,15.8,3.0,6.1,0.6,0.8,0.5,2.8,0.9,0.5,0.3,0.5,7.1,0.1,0.0,467.0,14.2,False
367,DeAndre Jordan,Den,C,False,False,False,False,False,367,,,12.1,1.8,2.7,0.6,1.3,0.0,4.7,0.7,0.2,0.5,0.8,4.2,0.2,0.0,504.0,11.7,False
368,TyTy Washington Jr.,Phx,PG,False,False,False,False,False,368,,,,,,,,,,,,,,,0.1,0.0,,,False
369,James Johnson,Ind,PF,False,False,False,False,False,369,,,15.1,1.9,4.0,0.4,0.7,0.3,2.7,1.6,0.4,0.5,0.6,4.4,0.1,0.0,494.0,12.4,False
370,Andre Jackson Jr.,Mil,SG,True,False,False,False,False,370,,,10.1,0.8,1.8,0.1,0.2,0.3,2.0,0.9,0.3,0.1,0.5,2.1,0.1,0.0,440.0,6.6,False
371,Bronny James,LAL,PG,False,False,False,False,False,371,,,10.1,1.3,3.2,0.6,0.7,0.7,2.3,1.7,0.7,0.3,1.3,3.8,17.7,0.2,430.0,10.8,False
372,James Nnaji,Cha,C,False,False,False,False,False,372,,,,,,,,,,,,,,,0.0,0.0,,,False
373,Olivier-Maxence Prosper,Dal,PF,False,False,False,False,False,373,,,8.4,1.0,2.6,0.7,1.0,0.3,2.0,0.6,0.2,0.1,0.2,3.0,0.1,0.0,418.0,6.4,False
374,Kobe Brown,LAC,PF,False,False,False,False,False,374,,,8.9,0.9,2.0,0.0,0.0,0.4,1.4,0.6,0.3,0.1,0.2,2.1,0.1,0.0,378.0,5.9,False
375,Dariq Whitehead,Bkn,SF,False,False,False,False,False,375,,,12.0,0.5,2.5,0.5,1.0,0.0,2.0,1.5,0.0,0.5,0.0,1.5,0.1,0.0,376.0,6.6,False
376,Colby Jones,Sac,SG,False,False,False,False,False,376,,,6.9,1.0,2.6,0.2,0.4,0.1,1.5,0.7,0.3,0.2,0.4,2.4,0.1,0.0,370.0,5.9,False
377,Jordan Walsh,Bos,SF,False,False,False,False,False,377,,,9.2,0.7,1.7,0.1,0.2,0.2,2.2,0.6,0.6,0.1,0.3,1.7,0.4,0.0,363.0,7.1,False
378,PJ Dozier,Min,PG,False,False,False,False,False,378,,,10.0,1.1,3.3,0.2,0.3,0.4,1.8,1.0,0.5,0.2,0.5,2.8,0.1,0.0,344.0,7.6,False
379,Jalen Pickett,Den,SG,False,False,True,False,False,379,,,6.1,0.8,1.8,0.1,0.2,0.5,0.7,1.1,0.2,0.0,0.5,2.2,0.1,0.0,313.0,5.0,False
380,Julian Phillips,Chi,SF,False,False,False,False,False,380,,,8.0,0.8,1.9,0.3,0.5,0.3,0.9,0.3,0.2,0.2,0.2,2.2,0.1,0.0,291.0,4.7,False
381,Jaylen Clark,Min,SG,False,False,False,False,False,381,,,,,,,,,,,,,,,0.0,0.0,,,False
382,Emoni Bates,Cle,SF,False,False,False,False,False,382,,,9.0,1.0,3.3,0.1,0.3,0.7,0.9,0.7,0.1,0.1,0.5,2.8,0.2,0.0,252.0,4.0,False
383,Hunter Tyson,Den,SF,False,False,False,False,False,383,,,6.2,1.1,2.6,0.0,0.0,0.5,1.2,0.3,0.1,0.0,0.3,2.6,0.1,0.0,249.0,4.3,False
384,Tarik Biberovic,Mem,PF,False,False,False,False,False,384,,,,,,,,,,,,,,,0.0,0.0,,,False
385,Leonard Miller,Min,SF,False,False,False,False,False,385,,,3.2,0.6,1.2,0.1,0.1,0.1,1.2,0.5,0.1,0.1,0.1,1.3,0.2,0.0,246.0,4.2,False
386,Jalen Slawson,Orl,SF,False,False,False,False,False,386,,,3.1,0.3,0.5,0.0,0.0,0.0,0.6,0.2,0.1,0.1,0.2,0.7,0.0,0.0,25.0,2.1,False
387,Mojave King,Ind,SG,False,False,False,False,False,387,,,,,,,,,,,,,,,0.0,0.0,,,False
388,Edmond Sumner,Cha,SG,False,False,False,False,False,388,,,13.9,2.4,5.1,1.8,2.0,0.6,1.5,1.3,0.6,0.2,0.9,7.1,0.0,0.0,529.0,12.6,False
389,Jett Howard,Orl,SF,False,True,False,False,False,389,,,3.6,0.6,1.7,0.1,0.2,0.4,0.4,0.3,0.1,0.1,0.2,1.6,0.2,0.0,185.0,2.8,False
390,Maxwell Lewis,LAL,SF,False,False,False,False,False,390,,,8.3,0.7,1.7,0.1,0.2,0.2,0.3,0.5,0.2,0.1,0.8,1.8,0.1,0.0,165.0,2.6,False
391,Chris Livingston,Mil,SF,False,False,False,False,False,391,,,4.3,0.5,1.1,0.2,0.2,0.1,1.0,0.2,0.1,0.0,0.2,1.2,0.1,0.0,161.0,2.6,False
392,Keyontae Johnson,Cha,SF,False,False,False,False,False,392,,,7.4,0.6,1.8,0.0,0.0,0.1,1.1,0.4,0.1,0.0,0.4,1.2,0.0,0.0,129.0,2.1,False
393,Aleksej Pokusevski,FAP,F,False,False,False,True,False,393,,,17.8,2.5,6.0,0.8,1.2,0.9,4.1,1.7,0.6,0.7,1.1,6.7,0.1,0.0,,16.7,False
394,Seth Lundy,Atl,SG,False,False,False,False,False,394,,,5.8,0.4,1.9,0.3,0.4,0.3,0.8,0.0,0.0,0.0,0.1,1.5,0.0,0.0,92.0,1.4,False
395,Jordan Miller,LAC,SF,False,False,False,False,False,395,,,3.5,0.5,1.1,0.2,0.3,0.1,0.6,0.0,0.0,0.0,0.1,1.4,0.1,0.0,88.0,1.7,False
396,Isaiah Wong,FAP,G,False,False,False,False,False,396,,,,,,,,,,,,,,,0.0,0.0,,,False
397,Brice Sensabaugh,Utah,SF,False,False,False,False,False,397,,,18.9,2.8,7.1,1.2,1.3,1.2,3.3,1.8,0.4,0.2,1.5,7.9,0.2,0.0,918.0,13.7,False
398,Gordon Hayward,FAS,F,False,False,False,False,False,398,,,,,,,,,,,,,,,0.3,-0.1,,,False
399,Raul Neto,Cle,PG,False,False,False,False,False,399,,,18.2,2.7,5.7,1.1,1.4,0.5,1.8,2.9,0.7,0.0,1.0,6.9,0.1,0.0,991.0,15.0,False
400,Tristan Thompson,Cle,C,False,False,False,False,True,400,,,12.7,1.8,3.2,0.6,1.4,0.0,4.0,0.9,0.3,0.3,0.7,4.2,0.1,0.0,540.0,10.6,False
401,Kemba Walker,FAP,G,False,False,False,False,False,401,,,25.0,3.9,9.8,1.6,1.9,1.9,2.9,3.5,0.7,0.2,1.2,11.4,0.1,0.0,,22.2,False
402,Justin Holiday,FAS,G,True,False,False,False,False,402,,,17.7,2.0,4.8,0.2,0.2,1.3,1.5,1.2,0.6,0.3,0.4,5.4,0.2,-0.1,,12.5,False
403,James Bouknight,FAS,G,False,False,False,False,False,403,,,13.2,1.9,5.3,0.7,0.9,0.8,1.9,1.1,0.3,0.1,0.8,5.3,0.0,0.0,,8.5,False
404,Michael Carter-Williams,Orl,PG,False,False,False,False,False,404,,,,,,,,,,,,,,,0.0,0.0,0.0,,False
405,Thaddeus Young,FAP,F,False,False,False,False,False,405,,,14.4,2.1,3.8,0.3,0.6,0.1,3.3,1.6,0.9,0.2,0.7,4.7,0.3,-0.1,,14.4,False
406,Terrence Ross,Phx,SG,False,False,False,False,False,406,,,22.6,3.4,8.5,1.5,1.8,1.3,2.5,1.8,0.5,0.2,1.1,9.7,0.1,0.0,997.0,15.8,False
407,Blake Griffin,Bos,PF,False,False,False,False,False,407,,,16.6,2.2,5.2,0.9,1.3,0.6,4.0,1.8,0.5,0.2,0.6,6.1,0.2,0.0,787.0,14.8,False
408,Reggie Bullock Jr.,FAS,F,False,True,False,False,False,408,,,21.2,1.8,4.5,0.2,0.3,1.4,2.8,0.9,0.5,0.2,0.4,5.3,0.2,-0.1,,12.4,False
409,Terence Davis,Mil,SG,False,False,False,False,False,409,,,16.3,3.3,7.8,1.0,1.2,1.6,2.8,1.2,0.8,0.3,1.0,9.1,0.0,0.0,625.0,16.9,False
410,Bismack Biyombo,FA,C,False,False,False,False,False,410,,,17.1,2.0,3.4,0.6,1.4,0.0,4.8,1.1,0.3,1.1,0.9,4.5,0.1,-0.1,,15.2,False
411,Facundo Campazzo,Dal,PG,False,False,False,False,False,411,,,17.9,1.6,4.5,0.9,1.2,0.9,1.8,3.3,1.0,0.3,1.0,5.0,0.0,0.0,859.0,15.9,False
412,Ricky Rubio,Cle,PG,False,False,False,False,False,412,,,,,,,,,,,,,,,0.0,0.0,0.0,,False
413,Mike Muscala,OKC,C,False,False,False,False,False,413,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,False
414,Andre Iguodala,GSS,F,False,False,False,False,False,414,,,,,,,,,,,,,,,0.1,0.0,0.0,,False
415,Evan Fournier,FAS,G,True,False,False,False,False,415,,,21.6,3.2,8.4,0.8,1.1,1.7,2.1,1.7,0.9,0.2,0.9,9.0,0.1,0.0,,16.7,False
416,Gorgui Dieng,SA,C,False,False,False,False,False,416,,,,,,,,,,,,,,,0.0,0.0,0.0,,False
417,Will Barton,Tor,SF,False,False,False,False,False,417,,,29.7,5.0,11.6,1.3,1.6,2.0,4.4,3.6,0.7,0.4,1.6,13.4,0.3,0.2,1789.0,26.3,False
418,Robin Lopez,FA,C,False,False,False,False,False,418,,,10.5,1.8,3.2,0.5,0.8,0.1,1.9,0.8,0.1,0.3,0.8,4.2,0.1,0.0,,7.8,False
419,Khem Birch,SA,C,False,False,False,False,False,419,,,17.2,1.7,3.5,0.9,1.2,0.0,4.1,1.0,0.5,0.5,0.5,4.3,0.0,0.0,625.0,13.0,False
420,JaMychal Green,GSP,F,False,False,False,False,False,420,,,15.8,2.4,4.8,1.1,1.3,0.5,4.1,0.9,0.6,0.4,0.9,6.4,0.2,0.0,960.0,14.8,False
421,Robert Covington,FAP,F,True,False,False,False,False,421,,,19.3,2.1,4.8,0.7,0.9,1.1,3.9,1.1,1.2,0.8,0.7,6.0,0.2,-0.1,,19.0,False
422,Doug McDermott,FAS,F,False,False,False,False,False,422,,,17.3,2.8,6.2,0.4,0.6,1.7,1.5,1.2,0.2,0.1,0.6,7.7,0.0,0.0,,12.4,False
423,Jae Crowder,FAP,F,True,False,False,False,False,423,,,23.8,2.5,6.0,0.7,0.9,1.3,3.8,1.5,0.9,0.3,0.5,7.1,0.3,-0.1,,17.9,False
424,Victor Oladipo,FAS,G,False,False,False,False,False,424,,,24.4,4.1,9.4,1.5,2.1,1.7,3.0,3.5,1.0,0.2,2.0,11.4,0.3,-0.1,,22.1,False
425,Kendrick Nunn,Wsh,SG,False,False,False,False,False,425,,,13.8,2.7,6.4,0.5,0.6,1.1,1.6,1.3,0.4,0.1,0.9,7.1,0.1,0.0,648.0,11.6,False
426,Joe Harris,FAS,F,False,False,False,False,False,426,,,19.9,2.5,5.6,0.2,0.3,1.8,2.2,1.2,0.4,0.2,0.6,7.0,0.1,0.0,,14.0,False
427,Landry Shamet,NYS,G,False,False,False,False,False,427,,,18.0,2.7,6.6,0.9,1.1,1.5,1.5,1.5,0.5,0.2,0.7,7.8,0.2,0.0,660.0,13.8,False
428,Dewayne Dedmon,Phi,C,False,False,False,False,False,428,,,15.3,2.4,4.3,1.1,1.5,0.3,5.5,0.7,0.3,0.6,1.0,6.2,0.0,0.0,924.0,15.1,False
429,Juan Toscano-Anderson,FAS,F,False,False,False,False,False,429,,,13.3,1.4,3.0,0.5,0.8,0.3,2.4,1.6,0.5,0.2,0.8,3.7,0.0,0.0,,10.3,False
430,Marcus Morris Sr.,FAP,F,False,False,False,False,False,430,,,22.6,3.5,8.1,1.1,1.3,1.4,3.4,1.3,0.5,0.3,0.8,9.4,0.1,0.0,,17.1,False
431,Danny Green,Phi,SF,False,True,False,False,False,431,,,21.5,2.0,5.1,0.2,0.2,1.6,2.5,1.0,0.9,0.6,0.7,5.8,0.1,0.0,805.0,15.5,False
432,Bryn Forbes,Min,SG,False,False,False,False,False,432,,,16.6,2.9,6.9,1.0,1.1,1.6,1.2,1.0,0.3,0.1,0.7,8.4,0.0,0.0,799.0,12.3,False
433,Jarrett Culver,Orl,SG,False,False,False,False,False,433,,,9.4,1.4,3.7,0.4,0.9,0.3,1.5,0.9,0.5,0.1,0.6,3.6,0.0,0.0,225.0,7.0,False
434,Stanley Johnson,SAS,F,False,False,False,False,False,434,,,21.8,2.4,5.1,1.1,1.5,0.7,3.2,1.7,0.8,0.3,0.8,6.6,0.0,0.0,701.0,15.9,False
435,Cory Joseph,Orl,PG,False,False,False,False,False,435,,,18.1,2.0,4.7,0.8,1.0,0.9,1.7,2.9,0.4,0.2,0.8,5.7,0.1,0.0,602.0,14.0,False
436,Jordan Goodwin,LAL,PG,False,True,False,False,False,436,,,18.3,2.5,6.3,0.8,1.1,0.7,4.0,2.7,0.9,0.4,1.0,6.5,0.1,0.0,908.0,18.2,False
437,Isaiah Roby,NYP,F,False,False,False,False,False,437,,,19.2,3.3,6.5,1.5,2.3,0.9,4.4,1.5,0.7,0.6,0.9,8.9,0.1,0.0,873.0,19.8,False
438,Moses Brown,NY,C,False,False,False,False,False,438,,,8.7,1.6,2.8,0.7,1.7,0.0,3.8,0.2,0.2,0.4,0.5,3.9,0.0,0.0,260.0,9.0,False
439,Damian Jones,FA,C,False,False,False,False,False,439,,,10.6,1.6,2.5,0.7,0.9,0.1,2.6,0.5,0.2,0.5,0.5,4.0,0.0,0.0,,9.9,False
440,Nerlens Noel,FA,C,False,False,False,False,False,440,,,20.8,1.2,2.4,0.8,1.1,0.0,5.2,0.9,1.2,1.1,0.8,3.2,0.0,0.0,,17.7,False
441,D.J. Wilson,Phi,PF,False,False,False,False,False,441,,,,,,,,,,,,,,,0.0,0.0,0.0,,False
442,Nassir Little,Mia,SF,False,False,False,False,False,442,,,15.0,2.0,4.4,0.6,0.8,0.8,2.5,0.7,0.3,0.4,0.5,5.3,0.1,0.0,525.0,11.2,False
443,Darius Bazley,FAP,F,False,False,False,False,False,443,,,19.9,2.7,6.3,1.2,2.0,0.7,4.5,1.1,0.6,0.9,0.9,7.5,0.0,0.0,,17.6,False
444,Furkan Korkmaz,FAS,G,False,False,False,False,False,444,,,12.0,1.5,3.6,0.7,0.9,0.6,1.4,1.0,0.4,0.1,0.5,4.2,0.0,0.0,,8.3,False
445,Juancho Hernangomez,Tor,PF,False,False,False,False,False,445,,,11.9,1.1,2.7,0.5,0.8,0.6,2.6,0.5,0.4,0.2,0.4,3.3,0.0,0.0,328.0,8.2,False
446,Willy Hernangomez,NO,C,False,False,False,False,False,446,,,16.3,3.3,6.3,2.2,2.8,0.1,6.5,1.2,0.4,0.4,1.0,8.8,0.1,0.0,878.0,18.7,False
447,Serge Ibaka,Ind,C,False,False,False,False,False,447,,,16.0,2.7,5.3,0.6,0.8,0.7,4.5,0.9,0.2,0.6,0.8,6.5,0.1,0.0,684.0,14.9,False
448,Davis Bertans,FAP,F,False,False,False,False,False,448,,,14.0,1.9,4.8,0.5,0.6,1.5,1.5,0.7,0.4,0.2,0.3,5.9,0.3,-0.1,,11.0,False
449,Frank Kaminsky,Phx,C,False,False,False,False,False,449,,,13.4,2.4,4.6,1.1,1.3,0.4,3.0,1.2,0.5,0.4,0.4,6.4,0.0,0.0,214.0,15.3,False
450,Justise Winslow,Tor,SF,False,False,False,False,False,450,,,17.8,2.4,5.7,0.8,1.3,0.3,4.4,2.0,0.8,0.5,1.1,6.0,0.0,0.0,702.0,16.3,False
451,Talen Horton-Tucker,Chi,SG,True,False,False,False,False,451,,,20.8,3.7,9.2,1.8,2.3,1.0,2.8,3.5,0.8,0.4,1.5,10.3,0.5,-0.1,1183.0,20.8,False
452,Patrick Beverley,FAP,G,False,False,False,False,False,452,,,22.8,2.3,5.5,1.0,1.3,1.0,3.5,3.1,0.8,0.5,0.9,6.6,0.5,-0.2,,19.4,False
453,Ish Smith,FAP,G,False,False,False,False,False,453,,,15.0,1.7,4.1,0.1,0.2,0.2,1.7,3.2,0.4,0.2,1.1,3.7,0.0,0.0,,11.3,False
454,JaVale McGee,FA,C,False,False,False,False,False,454,,,9.6,2.2,3.6,0.8,1.2,0.0,3.6,0.4,0.2,0.6,0.9,5.2,0.1,0.0,,11.4,False
455,Justin Jackson,FAS,F,False,False,False,False,False,455,,,4.6,0.3,1.2,0.1,0.1,0.2,0.7,0.4,0.2,0.2,0.1,0.9,0.0,0.0,,3.5,False
456,George Hill,Ind,PG,False,False,False,False,False,456,,,22.3,2.1,4.8,1.1,1.2,0.8,2.7,2.3,0.7,0.1,0.8,6.0,0.0,0.0,770.0,14.8,False
457,Hamidou Diallo,FAS,G,False,False,False,False,False,457,,,19.4,4.1,7.7,1.5,2.5,0.2,4.0,1.1,1.1,0.3,1.2,10.0,0.1,0.0,,19.2,False
458,Dennis Smith Jr.,FAP,G,False,False,False,False,False,458,,,20.8,2.8,6.6,1.0,1.4,0.5,2.9,4.0,1.3,0.3,1.3,7.1,0.2,-0.1,,20.9,False
459,Cedi Osman,FAS,F,False,False,False,False,False,459,,,19.0,2.9,6.3,0.8,1.1,1.4,2.4,1.7,0.5,0.1,0.7,8.0,0.1,0.0,,15.3,False
460,Sasha Vezenkov,FAP,F,False,False,False,False,False,460,,,12.2,2.0,4.6,0.3,0.4,1.1,2.3,0.5,0.5,0.2,0.3,5.5,0.0,0.0,,11.4,False
461,Anthony Lamb,GSS,F,False,False,False,False,False,461,,,19.3,2.4,5.1,0.8,1.0,1.2,3.5,1.6,0.5,0.3,0.9,6.8,0.1,0.0,187.0,15.6,False
462,R.J. Hampton,FAP,G,False,False,False,False,False,462,,,18.1,2.4,5.8,1.2,1.7,0.9,2.3,1.6,0.6,0.2,1.1,6.8,0.0,0.0,,12.7,False
463,Austin Rivers,Min,SG,False,False,False,False,False,463,,,21.7,2.1,5.0,0.5,0.7,1.1,1.7,1.4,0.7,0.1,0.7,5.8,0.1,0.0,784.0,12.3,False
464,Chimezie Metu,FAP,F,False,False,False,True,False,464,,,15.3,2.4,4.7,1.0,1.2,0.5,3.8,0.8,0.7,0.3,0.8,6.3,0.0,0.0,,14.5,False
465,Killian Hayes,Bkn,PG,False,False,False,False,False,465,,,26.0,3.3,8.4,1.0,1.3,0.8,2.9,5.3,1.1,0.4,1.7,8.3,0.6,-0.1,1287.0,23.0,False
466,Danuel House Jr.,FAS,F,False,True,False,False,False,466,,,15.1,1.6,3.5,0.9,1.2,0.6,1.8,0.8,0.4,0.2,0.6,4.7,0.0,0.0,,9.3,False
467,Omer Yurtseven,FA,C,False,False,False,False,False,467,,,11.6,2.1,3.9,0.5,0.7,0.1,4.4,0.6,0.2,0.4,0.7,4.8,0.0,0.0,,11.5,False
468,Amari Bailey,Bkn,SG,False,False,False,False,False,468,,,6.3,0.8,2.4,0.6,0.7,0.1,0.9,0.7,0.3,0.0,0.4,2.3,0.0,0.0,42.0,4.2,False
469,Goran Dragic,Mil,PG,False,False,False,False,False,469,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,False
